id,name,website,address,phone,twitter,x,y,city
190,The ND at 501 Studios,http://www.ndvenue.com/,502 Brushy St- Austin- TX 78702,(512) 485-3011,@ndaustin,-97.734161,30.26475,
191,The Nook,http://www.nookamphitheater.com/,309 E 6th St- Austin- TX 78701,(512) 473-8655,,-97.740148,30.267016,
192,The North Door,http://www.ndvenue.com/,501 Brushy St- Austin- TX 78702,(512) 485-3001,@ndaustin,-97.733964,30.264871,
193,The Oasis,http://oasis-austin.com/,6550 Comanche TrailAustin- Texas 78732,(512) 266-2442,,-97.873952,30.405899,
194,The Paramount & Stateside Theaters,http://www.austintheatre.org/site/PageServer?pagename=Home,713 Congress Ave- Austin- TX 78701,(512) 472-5470,@paramountaustin,-97.741945,30.269379,
195,The Parish,http://www.theparishaustin.com/,214 E 6th St- Austin- TX 78701,(512)478-6372,@theparishaustin,-97.740692,30.267775,
196,The Red Rooster,http://www.roosteraustin.com/,109 E Pecan St- Pflugerville- TX 78660,(512) 251-4129,,-97.620562,30.439546,
197,The Roost,http://theroostaustin.com/,2113 Wells Branch Pkwy- Austin- Texas 78728,(512) 394-5727,@theroostaustin,-97.684087,30.436033,
198,The Sahara Lounge,http://www.saharalounge.com/,1413 Webberville Rd- Austin- TX 78721,(512) 927-0700,,-97.681655,30.279508,
199,The Scoot Inn,http://scootinnaustin.com/,1133 E 11th St- Austin- TX 78702,(512) 524-1932,@scoot_inn_atx,-97.728115,30.268538,
200,The Skylark Lounge,http://skylarkaustin.com/,2039 Airport Blvd- Austin- TX 78722,(512) 730-0759,@skylarkaustin,-97.70491,30.284621,
201,The Thirsty Nickel,http://www.thirstynickel.com/,325 E 6th St- Austin- TX 78701,(512) 473-8891,,-97.739607,30.266865,
202,The Tiniest Bar in Texas,,817 W 5th St- Austin- TX 78703,(870) 577-7355,,-97.753018,30.269554,
203,The White Horse,http://www.thewhitehorseaustin.com/,500 Comal St- Austin- TX 78702,(512) 553-6756,@whitehorseatx,-97.727035,30.262534,
204,Third Base SouthPark Meadows,http://www.thirdbaseaustin.com/,Southpark Meadows- 9600 S I H 35 # B- Austin- TX 78748,(512) 381-2273,@thirdbasesports,-97.794143,30.159754,
205,Threadgill's North HQ,http://www.threadgills.com/,301 W Riverside Dr- Austin- TX 78704,(512) 472-9304,@threadgills,-97.748726,30.258231,
206,Thunderbird Coffee,http://thunderbirdcoffee.com/,2200 Manor Rd- Austin- TX 78722,(512) 472-9900,@thunderbirdcffe,-97.719389,30.284427,
207,Tom's Tabooley,http://tomstabooley.com/,2928 Guadalupe St- Austin- TX 78705,(512) 479-7337,,-97.742532,30.296305,
208,Travis County Exposition Center,https://www.traviscountytx.gov/exposition-center,7311 Decker Ln- Austin- TX 78724,(512) 854-4900,@travcoexpoctr,-97.621927,30.295685,
209,Trinity Hall,http://trinityhall.com/,311 E 5th St- Austin- TX 78701,(512) 634-8278,@trinityhallatx,-97.740043,30.265955,
210,Triple Crown,http://www.triplecrownlive.com/,206 N Edward Gary St- San Marcos- TX 78666,(512) 396-2236,@triplecrownlive,-97.938654,29.883851,
211,Trophy Club,http://thetrophyclubaustin.com/,310 E 6th St- Austin- TX 78701,(512) 465-2750,,-97.739827,30.267535,
212,Uncle Billy's Brew & Que,http://www.unclebillysaustin.com/,1530 Barton Springs Rd- Austin- TX 78704,(512) 476-0100,@unclebillys,-97.761228,30.262076,
213,Upstairs on Trinity,http://www.upstairsontrinity.com/,607 Trinity St- Austin- TX 78701,(512) 358-4824,@upstairstrinity,-97.738938,30.26756,
214,Victory Grill,http://atxhistoricvictorygrill.org/contacts/,1104 E 11th St- Austin- TX 78702,(512) 291-6211,,-97.728562,30.269175,
215,Vinyl,,609 Trinity St- Austin- TX 78701,,,-97.738922,30.267634,
216,Volstead,http://texashotelvegas.com/,1500 E 6th St- Austin- TX 78702,(512) 524-1584,@hotelhotburrito,-97.727235,30.263424,
217,Voodoo Room,http://voodooroom.weebly.com/,419 E 6th St- Austin- TX 78701,(512) 505-8664,@voodooaustin,-97.738701,30.266626,
218,Vulcan Gas Company,http://vulcanatx.com/,418 E 6th St- Austin- TX 78701,(512) 297-2077,@vulcanatx,-97.738465,30.267162,
219,Water Trough at Lone Star Court,http://www.lonestarcourt.com/,10901 Domain Dr- Austin- TX 78758,(512) 814-2625,@lonestarcourt,-97.72624,30.395358,
220,Waterloo Icehouse,http://waterlooicehouse.com/,6203 N Capital of Texas Hwy- Austin- TX 78731,(512) 418-9700,@waterloo_austin,-97.789242,30.361009,
221,Waterloo Records,http://www.waterloorecords.com/,600A N Lamar Blvd- Austin- TX 78703,(512) 474-2500,@waterloorecords,-97.75426,30.271964,
222,Weather Up,http://weatherupnyc.com/,1808 E Cesar Chavez St- Austin- TX 78702,(512) 524-0464,,-97.724901,30.257382,
223,Whip In,http://whipin.com/,1950 South Interstate Highway 35- Austin- TX 78704,(512) 442-5337,,-97.739573,30.237452,
224,Whitewater on the Horseshoe,http://www.whitewaterrocks.com/,11860 FM306- New Braunfels- TX 78132,(830) 964-3800,@whitewaterrocks,-98.157656,29.861101,
225,Whole Foods - Lamar,www.wholefoods.com,525 N Lamar Blvd Austin- TX 78703,(512) 476-1206,,-97.75356,30.270649,
226,Windermere Events Center,http://www.eventcentersofaustin.com/,15803 Windermere Dr- Pflugerville- TX 78660,(512) 217-6044,,-97.647176,30.447333,
227,Winflo Osteria,http://winfloosteria.com/,1315 W 6th St- Austin- TX 78703,(512) 582-1027,@winfloaustin,-97.760029,30.273526,
228,Wonderland Austin,http://www.wonderlandaustin.com/#what,1104 E 6th St- Austin- TX 78702,(512) 469-7860,@wonderlandatx,-97.731045,30.264868,
229,World of Beer,http://worldofbeer.com/Locations/SouthLamar,3121 S Lamar Blvd- Austin- TX 78704,(512) 584-8770,@wobsouthlamar,-97.783781,30.242534,
230,Zed's,http://www.zeds.bz/,501 W Canyon Ridge Dr- Austin- TX 78753,(512) 339-9337,@zedsaustin,-97.672548,30.403245,
